"Observation_ID","mukey","cokey","drainagecl","comppct_r","compname","taxclname","taxsubgrp","sand050","sand150","rockdepth","comppct_l","comppct_h","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxorder","taxsuborder","taxgrtgroup","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","pmkind","pmorigin","landform","mntn","hill","trce","flats","shapeacross","shapedown","slopeshape","hillslopeprof","areasymbol","lkey","musym","muname","mukind","mustatus","invesintens","muacres","farmlndcl","flood","pH50","carbdepth","ocean","lake","wet","moist","dry","mucky","sandy","rock","coastal","salty","dysic","calcareous","euic"
"GRR.GJS.2012.55",187380,"21186699","Poorly drained",90,"Sims","Fine, mixed, semiactive, nonacid, mesic Mollic Haplaquepts","Mollic Haplaquepts",35.281999092102,31.9699996185303,500,85,95,"Series","Yes","DRAINED",NA,0,1,2,82,116,150,"High",5,48,"5",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on till plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",0,0,0,NA,NA,NA,"C/D","Low","High","Inceptisols","Aquepts","Haplaquepts","fine",NA,"semiactive","nonacid","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"1.5c",NA,"Till",NA,"till plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Sm","Sims loam","Consociation",NA,"Order 2",2482,"Prime farmland if drained",0,7,81,887762.675133445,30433.6478568886,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2014.14",2507492,"21186862","Excessively drained",92,"Plainfield","Mixed, mesic Typic Udipsamments","Typic Udipsamments",93.6,95.9333333333333,500,85,100,"Series","Yes",NA,NA,0,2,6,30,91,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,243,313,NA,NA,NA,"moraines, outwash plains on outwash plains, outwash terraces on outwash plains",NA,0.159999996423721,NA,5,9,11,770,900,1040,NA,NA,NA,110,160,200,3,"s",NA,NA,NA,NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Low","Entisols","Psamments","Udipsamments","not used","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5.3a",NA,"Outwash",NA,"outwash plains",NA,"Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Linear","Convex and Linear","LL and VL","Shoulder and Summit","MI121","11639","PlfaaB","Plainfield sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",45282,"Not prime farmland",0,5.11599988937378,NA,913640.392455541,5038.82322305873,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2014.15",2507492,"21186862","Excessively drained",92,"Plainfield","Mixed, mesic Typic Udipsamments","Typic Udipsamments",93.6,95.9333333333333,500,85,100,"Series","Yes",NA,NA,0,2,6,30,91,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,243,313,NA,NA,NA,"moraines, outwash plains on outwash plains, outwash terraces on outwash plains",NA,0.159999996423721,NA,5,9,11,770,900,1040,NA,NA,NA,110,160,200,3,"s",NA,NA,NA,NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Low","Entisols","Psamments","Udipsamments","not used","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5.3a",NA,"Outwash",NA,"outwash plains",NA,"Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Linear","Convex and Linear","LL and VL","Shoulder and Summit","MI121","11639","PlfaaB","Plainfield sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",45282,"Not prime farmland",0,5.11599988937378,NA,913349.408896049,5601.12408601077,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2020.7",187379,"21186696","Poorly drained",90,"Saranac","Fine, mixed, active, mesic Fluvaquentic Haplaquolls","Fluvaquentic Haplaquolls",25.25,13.4166666666667,500,85,95,"Series","Yes","FREQ,MAAT<50",NA,0,1,2,82,116,150,"Medium",5,56,"4L",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"flood plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,5,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",0,0,0,NA,NA,NA,"C/D","Low","High","Mollisols","Aquolls","Haplaquolls","fine",NA,"active","not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"L-2c",NA,"Alluvium",NA,"flood plains",NA,NA,NA,"Dip","Linear","Linear","LL",NA,"MI121","11639","Sa","Saranac loam","Consociation",NA,"Order 2",4427,"Not prime farmland",1,7.02,48,893004.865990833,22805.1948533355,1,0,0,0,0,0,0,0,0,1,1
"GRR.GJS.2012.64",3223682,"21186759","Well drained",100,"Nester","Fine, mixed, semiactive, mesic Haplic Glossudalfs","Haplic Glossudalfs",37.0319998931885,33.6146662267049,500,100,100,"Series","Yes",NA,NA,12,19,25,22,41,60,"Very high",5,56,"4L",NA,NA,NA,NA,"No",183,244,305,NA,NA,NA,"moraines, till plains",NA,0.300000011920929,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,6,"e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,NA,NA,NA,"C","Low","Moderate","Alfisols","Udalfs","Glossudalfs","fine",NA,"semiactive","not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"1.5a",NA,"Till",NA,"till plains",NA,"Base Slope and Crest and Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Concave and Convex","Convex and Linear","LV and VC","Backslope and Footslope and Shoulder and Summit and Toeslope","MI121","11639","NlD","Nester soils, 12 to 25 percent slopes, lake moderated","Undifferentiated group",NA,"Order 2",1186,"Farmland of unique importance",0,6.09999990463257,91,934729.209492784,7259.15256362225,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2017.10",187380,"21186699","Poorly drained",90,"Sims","Fine, mixed, semiactive, nonacid, mesic Mollic Haplaquepts","Mollic Haplaquepts",35.281999092102,31.9699996185303,500,85,95,"Series","Yes","DRAINED",NA,0,1,2,82,116,150,"High",5,48,"5",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on till plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",0,0,0,NA,NA,NA,"C/D","Low","High","Inceptisols","Aquepts","Haplaquepts","fine",NA,"semiactive","nonacid","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"1.5c",NA,"Till",NA,"till plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Sm","Sims loam","Consociation",NA,"Order 2",2482,"Prime farmland if drained",0,7,81,886747.940563757,30737.3409121685,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2017.7",187380,"21186699","Poorly drained",90,"Sims","Fine, mixed, semiactive, nonacid, mesic Mollic Haplaquepts","Mollic Haplaquepts",35.281999092102,31.9699996185303,500,85,95,"Series","Yes","DRAINED",NA,0,1,2,82,116,150,"High",5,48,"5",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on till plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",0,0,0,NA,NA,NA,"C/D","Low","High","Inceptisols","Aquepts","Haplaquepts","fine",NA,"semiactive","nonacid","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"1.5c",NA,"Till",NA,"till plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Sm","Sims loam","Consociation",NA,"Order 2",2482,"Prime farmland if drained",0,7,81,886714.23412222,30753.757310167,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2017.8",187380,"21186699","Poorly drained",90,"Sims","Fine, mixed, semiactive, nonacid, mesic Mollic Haplaquepts","Mollic Haplaquepts",35.281999092102,31.9699996185303,500,85,95,"Series","Yes","DRAINED",NA,0,1,2,82,116,150,"High",5,48,"5",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on till plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",0,0,0,NA,NA,NA,"C/D","Low","High","Inceptisols","Aquepts","Haplaquepts","fine",NA,"semiactive","nonacid","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"1.5c",NA,"Till",NA,"till plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Sm","Sims loam","Consociation",NA,"Order 2",2482,"Prime farmland if drained",0,7,81,886514.81453391,30964.6811188855,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2017.9",187380,"21186699","Poorly drained",90,"Sims","Fine, mixed, semiactive, nonacid, mesic Mollic Haplaquepts","Mollic Haplaquepts",35.281999092102,31.9699996185303,500,85,95,"Series","Yes","DRAINED",NA,0,1,2,82,116,150,"High",5,48,"5",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on till plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",0,0,0,NA,NA,NA,"C/D","Low","High","Inceptisols","Aquepts","Haplaquepts","fine",NA,"semiactive","nonacid","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"1.5c",NA,"Till",NA,"till plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Sm","Sims loam","Consociation",NA,"Order 2",2482,"Prime farmland if drained",0,7,81,886519.234973136,31020.1062735693,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2020.22",2689438,"21186838","Somewhat poorly drained",50,"Pipestone","Sandy, mixed, mesic Typic Endoaquods","Typic Endoaquods",92.32,96.2466666666667,500,35,80,"Series","Yes",NA,NA,0,1,3,14,100,213,"Negligible",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",178,195,239,NA,NA,NA,"nearshore zones (relict) on lake plains, outwash plains on outwash plains",NA,0.159999996423721,NA,7.90000009536743,8.5,9.10000038146973,833,871,923,NA,NA,NA,129,153,180,3,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,0,0,0,"A/D","High","High","Spodosols","Aquods","Endoaquods","sandy","not used","not used","not used","mesic","Typic","mesic","eleventh edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5b",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","PpsaaA","Pipestone-Covert-Saugatuck sands, 0 to 3 percent slopes","Complex",NA,"Order 2",29682,"Not prime farmland",0,4.79399990081787,NA,930315.181081765,5933.15540502978,0,1,0,0,1,0,0,0,1,0,0
"GRR.GJS.2020.22",2689438,"21186840","Moderately well drained",20,"Covert","Sandy, mixed, mesic Oxyaquic Haplorthods","Oxyaquic Haplorthods",94.94,96.8666666666667,500,10,40,"Series","Yes",NA,NA,0,2,3,20,90,183,"Negligible",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",178,195,239,NA,NA,NA,"nearshore zones (relict) on lake plains, outwash plains on outwash plains",NA,0.230000004172325,NA,7.90000009536743,8.5,9.10000038146973,833,871,923,NA,NA,NA,129,153,180,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A/D","High","High","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","mesic","Oxyaquic","mesic","eleventh edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,NA,NA,"Rise","Linear","Linear","LL",NA,"MI121","11639","PpsaaA","Pipestone-Covert-Saugatuck sands, 0 to 3 percent slopes","Complex",NA,"Order 2",29682,"Not prime farmland",0,4.81200002670288,NA,930315.181081765,5933.15540502978,0,1,0,0,1,0,0,0,1,0,0
"GRR.GJS.2020.22",2689438,"21186841","Somewhat poorly drained",15,"Saugatuck","Sandy, mixed, mesic, shallow, ortstein Typic Duraquods","Typic Duraquods",89.02,95.4666666666667,500,10,25,"Series","Yes",NA,NA,0,1,3,14,100,213,"Very low",1,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",178,195,239,NA,NA,NA,"nearshore zones (relict) on lake plains, outwash plains on outwash plains",NA,0.230000004172325,NA,7.90000009536743,8.5,9.10000038146973,833,871,923,NA,NA,NA,129,153,180,3,"w",NA,NA,NA,NA,NA,"2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,0,0,0,"D","High","High","Spodosols","Aquods","Duraquods","sandy","not used","not used","not used","mesic","Typic","mesic","eleventh edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5b-h",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","PpsaaA","Pipestone-Covert-Saugatuck sands, 0 to 3 percent slopes","Complex",NA,"Order 2",29682,"Not prime farmland",0,4.38000008583069,NA,930315.181081765,5933.15540502978,0,1,0,0,1,0,0,0,1,0,0
"GRR.GJS.2013.18",2689438,"21186838","Somewhat poorly drained",50,"Pipestone","Sandy, mixed, mesic Typic Endoaquods","Typic Endoaquods",92.32,96.2466666666667,500,35,80,"Series","Yes",NA,NA,0,1,3,14,100,213,"Negligible",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",178,195,239,NA,NA,NA,"nearshore zones (relict) on lake plains, outwash plains on outwash plains",NA,0.159999996423721,NA,7.90000009536743,8.5,9.10000038146973,833,871,923,NA,NA,NA,129,153,180,3,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,0,0,0,"A/D","High","High","Spodosols","Aquods","Endoaquods","sandy","not used","not used","not used","mesic","Typic","mesic","eleventh edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5b",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","PpsaaA","Pipestone-Covert-Saugatuck sands, 0 to 3 percent slopes","Complex",NA,"Order 2",29682,"Not prime farmland",0,4.79399990081787,NA,899974.027265884,19131.566859227,0,1,0,0,1,0,0,0,1,0,0
"GRR.GJS.2013.18",2689438,"21186840","Moderately well drained",20,"Covert","Sandy, mixed, mesic Oxyaquic Haplorthods","Oxyaquic Haplorthods",94.94,96.8666666666667,500,10,40,"Series","Yes",NA,NA,0,2,3,20,90,183,"Negligible",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",178,195,239,NA,NA,NA,"nearshore zones (relict) on lake plains, outwash plains on outwash plains",NA,0.230000004172325,NA,7.90000009536743,8.5,9.10000038146973,833,871,923,NA,NA,NA,129,153,180,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A/D","High","High","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","mesic","Oxyaquic","mesic","eleventh edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,NA,NA,"Rise","Linear","Linear","LL",NA,"MI121","11639","PpsaaA","Pipestone-Covert-Saugatuck sands, 0 to 3 percent slopes","Complex",NA,"Order 2",29682,"Not prime farmland",0,4.81200002670288,NA,899974.027265884,19131.566859227,0,1,0,0,1,0,0,0,1,0,0
"GRR.GJS.2013.18",2689438,"21186841","Somewhat poorly drained",15,"Saugatuck","Sandy, mixed, mesic, shallow, ortstein Typic Duraquods","Typic Duraquods",89.02,95.4666666666667,500,10,25,"Series","Yes",NA,NA,0,1,3,14,100,213,"Very low",1,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",178,195,239,NA,NA,NA,"nearshore zones (relict) on lake plains, outwash plains on outwash plains",NA,0.230000004172325,NA,7.90000009536743,8.5,9.10000038146973,833,871,923,NA,NA,NA,129,153,180,3,"w",NA,NA,NA,NA,NA,"2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,0,0,0,"D","High","High","Spodosols","Aquods","Duraquods","sandy","not used","not used","not used","mesic","Typic","mesic","eleventh edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5b-h",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","PpsaaA","Pipestone-Covert-Saugatuck sands, 0 to 3 percent slopes","Complex",NA,"Order 2",29682,"Not prime farmland",0,4.38000008583069,NA,899974.027265884,19131.566859227,0,1,0,0,1,0,0,0,1,0,0
"GRR.GJS.2020.8",187343,"21186683","Poorly drained",100,"Deford","Mixed, mesic Mollic Psammaquents","Mollic Psammaquents",93.9580003356934,94.2526677958171,500,100,100,"Series","Yes","DRAINED",NA,0,1,2,45,90,135,"Negligible",5,250,"1",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on lake plains, flats on lake plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,3,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,NA,NA,NA,"A/D","Low","High","Entisols","Aquents","Psammaquents","not used",NA,"not used","not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4c",NA,"Lacustrine deposits",NA,"lake plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Ds","Deford fine sand","Consociation",NA,"Order 2",2027,"Not prime farmland",0,7.29199995040894,13,893025.577559305,22900.1238498581,1,0,0,0,1,0,0,0,0,1,1
"GRR.GJS.2020.9",187343,"21186683","Poorly drained",100,"Deford","Mixed, mesic Mollic Psammaquents","Mollic Psammaquents",93.9580003356934,94.2526677958171,500,100,100,"Series","Yes","DRAINED",NA,0,1,2,45,90,135,"Negligible",5,250,"1",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions on lake plains, flats on lake plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,3,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderate",0,0,0,NA,NA,NA,"A/D","Low","High","Entisols","Aquents","Psammaquents","not used",NA,"not used","not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4c",NA,"Lacustrine deposits",NA,"lake plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI121","11639","Ds","Deford fine sand","Consociation",NA,"Order 2",2027,"Not prime farmland",0,7.29199995040894,13,893059.481379077,22853.1644570096,1,0,0,0,1,0,0,0,0,1,1
"GRR.GJS.2014.32",2507491,"21186794","Excessively drained",85,"Plainfield","Mixed, mesic Spodic Udipsamments","Spodic Udipsamments",93.8,96.7699987792969,500,80,100,"Taxadjunct","Yes",NA,"lake plain",0,2,6,30,91,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,201,229,NA,NA,NA,"nearshore zones (relict) on lake plains",NA,0.159999996423721,NA,6,10,11,770,970,1040,NA,NA,NA,140,160,200,4,"s",NA,NA,NA,NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Entisols","Psamments","Udipsamments","not used","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5.3a",NA,"Glaciolacustrine deposits",NA,"nearshore zones (relict)",NA,"Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Linear","Convex and Linear","LL and VL","Shoulder and Summit","MI121","11639","PlfabB","Plainfield sand, lake plain, 0 to 6 percent slopes","Consociation",NA,"Order 2",50960,"Not prime farmland",0,4.8,NA,899749.549805954,15313.3370912768,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2021.13",187280,"21120114","Poorly drained",49,"Ronald","Fine-loamy over sandy or sandy-skeletal, mixed, mesic Typic Argiaquolls","Typic Argiaquolls",64.5120008850098,74.9093334197998,500,NA,NA,"Series","Yes","DRAINED,MAAT<50",NA,0,1,2,30,60,90,"Low",3,86,"3",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"depressions, outwash plains",NA,0.230000004172325,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,"B/D","Low","High","Mollisols","Aquolls","Argiaquolls","fine-loamy over sandy or sandy-skeletal",NA,NA,"not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,NA,NA,"Outwash",NA,"depressions and outwash plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI117","11637","Ec","Epoufette loamy sand and Ronald sandy loam, 0 to 2 percent slopes","Undifferentiated group",NA,"Order 2",10601,"Farmland of local importance",0,7,91,832109.926247259,97140.4701179895,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2021.13",187280,"21120115","Poorly drained",51,"Epoufette","Coarse-loamy, mixed, mesic Typic Endoaquolls","Typic Endoaquolls",66.292001953125,78.372000579834,500,NA,NA,"Series","Yes","DRAINED,MAAT<50",NA,0,1,2,30,60,90,"Very low",3,86,"3",NA,NA,NA,"Wooded under natural conditions","Yes",110,192,274,NA,NA,NA,"depressions, outwash plains",NA,0.159999996423721,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,2,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,"A/D","Moderate","High","Mollisols","Aquolls","Endoaquolls","coarse-loamy",NA,NA,"not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4c",NA,"Outwash",NA,"depressions and outwash plains",NA,NA,NA,"Talf","Linear","Linear","LL",NA,"MI117","11637","Ec","Epoufette loamy sand and Ronald sandy loam, 0 to 2 percent slopes","Undifferentiated group",NA,"Order 2",10601,"Farmland of local importance",0,6.5,81,832109.926247259,97140.4701179895,1,0,0,0,0,0,0,0,0,0,1
"GRR.NJL.2023.18",187269,"21120100","Poorly drained",100,"Alluvial land","Coarse-loamy, mixed, mesic Fluvaquentic Haplaquolls","Fluvaquentic Haplaquolls",77.2840010070801,68.7399998474121,500,NA,NA,"Miscellaneous area","Yes","UNDRAINED,MAAT<50",NA,0,1,2,30,60,90,"Very low",5,134,"2",NA,NA,NA,"Wooded under natural conditions","Yes",183,244,305,NA,NA,NA,"flood plains",NA,0.230000004172325,NA,7,8,9,750,838,925,NA,NA,NA,140,145,150,5,"w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,"A/D","Low","High","Mollisols","Aquolls","Haplaquolls","coarse-loamy",NA,NA,"not used","mesic",NA,"mesic",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,NA,NA,"Alluvium",NA,"flood plains",NA,NA,NA,"Dip and Talf","Linear","Linear","LL",NA,"MI117","11637","Aa","Alluvial land","Consociation",NA,"Order 2",2461,"Not prime farmland",1,7.10200006484985,NA,846301.712003655,76169.9148112654,1,0,0,0,0,0,0,0,0,0,1
